,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],0.0009,-0.004955957141550012,-0.28395542765853515,0.051566201561774085,-0.33552162922030926
5,$d_{1}$ [mm],0.0009,-0.022189095629500298,-22.189095629500297,0.9,-23.089095629500296
6,$r_{1}$ [mm],0.0009,-0.007598985207123503,-7.598985207123503,0.9,-8.498985207123503
7,$\alpha_{1}$ [$\degree$],0.0008999999999999009,0.015119517247303094,0.8662845265457234,0.05156620156176841,0.814718324983955
8,$\theta_{2}$ [$\degree$],-0.0072,-0.0028810743198492833,-0.16507339899088816,-0.4125296124941927,0.24745621350330452
9,$d_{2}$ [mm],-0.0072,0.00828575416227556,8.28575416227556,-7.2,15.485754162275562
10,$r_{2}$ [mm],-0.007199999999999984,-0.0030705343179546762,-3.0705343179546762,-7.199999999999984,4.129465682045308
11,$\alpha_{2}$ [$\degree$],-0.007200000000000095,-0.0005717040909425375,-0.03275623154137079,-0.4125296124941982,0.37977338095282737
12,$\theta_{3}$ [$\degree$],-0.019,-0.010574541659093451,-0.6058766073513222,-1.088619810748564,0.48274320339724186
13,$d_{3}$ [mm],-0.019,-0.036382941972304544,-36.38294197230454,-19.0,-17.382941972304543
14,$r_{3}$ [mm],-0.019,-0.01906174666438414,-19.06174666438414,-19.0,-0.06174666438413823
15,$\alpha_{3}$ [$\degree$],-0.018999999999999906,-0.016496156692703767,-0.9451601566784124,-1.0886198107485587,0.14345965407014638
16,$\theta_{4}$ [$\degree$],0.0252,0.03982022823946528,2.281531017369017,1.4438536437296745,0.8376773736393426
17,$d_{4}$ [mm],0.0252,0.013085071713140295,13.085071713140294,25.2,-12.114928286859705
18,$r_{4}$ [mm],0.0252,0.0310801412214059,31.0801412214059,25.2,5.8801412214059
19,$\alpha_{4}$ [$\degree$],0.02519999999999989,0.03111919817797082,1.7829987174289292,1.4438536437296683,0.33914507369926095
20,$\theta_{5}$ [$\degree$],-0.001,0.03577020295454082,2.0494816616215767,-0.057295779513082325,2.106777441134659
21,$d_{5}$ [mm],-0.001,0.010378350056559703,10.378350056559702,-1.0,11.378350056559702
22,$r_{5}$ [mm],-0.001,0.037703800609059354,37.70380060905936,-1.0,38.70380060905936
23,$\alpha_{5}$ [$\degree$],-0.0009999999999998899,-0.004141441691095871,-0.23728712999931578,-0.05729577951307601,-0.17999135048623977
24,$\theta_{6}$ [$\degree$],-0.005,-0.0011200842570841365,-0.0641761006299673,-0.2864788975654116,0.2223027969354443
25,$d_{6}$ [mm],-0.005,-0.011044213436926777,-11.044213436926777,-5.0,-6.044213436926777
26,$r_{6}$ [mm],-0.0050000000000000044,0.009805346806797344,9.805346806797344,-5.000000000000004,14.805346806797349
27,$\alpha_{6}$ [$\degree$],-0.004999999999999893,-0.005888201685068317,-0.3373691054762341,-0.2864788975654055,-0.0508902079108286
28,$\theta_{7}$ [$\degree$],-0.0063,-0.032883729179111185,-1.8840988966142662,-0.3609634109324186,-1.5231354856818475
29,$d_{7}$ [mm],-0.0063,0.00029997238693253714,0.29997238693253714,-6.3,6.599972386932537
30,$r_{7}$ [mm],-0.0063,-0.044677691806519065,-44.677691806519064,-6.3,-38.37769180651907
31,$\alpha_{7}$ [$\degree$],-0.006299999999999972,-0.01556863452982693,-0.8920170513407238,-0.3609634109324171,-0.5310536404083068
