,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],-0.6163989023299014,-0.6168120271454143,-35.34072590834101,-35.317055599999996,-0.023670308341010582
5,$d_{1}$ [mm],-0.0353170556,-0.03513530884365574,-35.13530884365574,-35.3170556,0.18174675634426052
6,$r_{1}$ [mm],-0.0353170556,-0.03767839735861233,-37.67839735861233,-35.3170556,-2.361341758612326
7,$\alpha_{1}$ [$\degree$],-0.6163989023299012,-0.6150479237498518,-35.23965022915058,-35.31705559999999,0.07740537084941224
8,$\theta_{2}$ [$\degree$],-0.47278399613735755,-0.47363313447351163,-27.13717964288439,-27.088527600000006,-0.04865204288438463
9,$d_{2}$ [mm],-0.0270885276,-0.02716185951088885,-27.16185951088885,-27.0885276,-0.07333191088885016
10,$r_{2}$ [mm],-0.027088527600000023,-0.028235212439463975,-28.235212439463975,-27.088527600000024,-1.1466848394639513
11,$\alpha_{2}$ [$\degree$],-0.47278399613735766,-0.47185772517022806,-27.03545618289798,-27.08852760000001,0.05307141710202856
12,$\theta_{3}$ [$\degree$],0.6614106225982529,0.6615711581484061,37.90523520948559,37.8960372,0.009198009485587022
13,$d_{3}$ [mm],0.0378960372,0.036171814179892355,36.17181417989235,37.8960372,-1.724223020107651
14,$r_{3}$ [mm],0.0378960372,0.03623181300857301,36.23181300857301,37.8960372,-1.6642241914269889
15,$\alpha_{3}$ [$\degree$],0.661410622598253,0.6607852418492468,37.860205522493224,37.89603720000001,-0.03583167750678484
16,$\theta_{4}$ [$\degree$],0.3178024307330073,0.3176676244194728,18.201014167182763,18.208738000000004,-0.007723832817241316
17,$d_{4}$ [mm],0.018208738000000002,0.019526467023391007,19.526467023391007,18.208738000000004,1.3177290233910028
18,$r_{4}$ [mm],0.018208738000000002,0.019374790938625375,19.374790938625374,18.208738000000004,1.16605293862537
19,$\alpha_{4}$ [$\degree$],0.3178024307330074,0.3170889306250495,18.167857455131895,18.208738000000007,-0.04088054486811288
20,$\theta_{5}$ [$\degree$],0.26966176795748453,0.26787241314392063,15.347958721131372,15.4504812,-0.10252247886862875
21,$d_{5}$ [mm],0.0154504812,0.011194771136427204,11.194771136427203,15.450481199999999,-4.255710063572796
22,$r_{5}$ [mm],0.0154504812,0.014458250361875487,14.458250361875487,15.450481199999999,-0.9922308381245113
23,$\alpha_{5}$ [$\degree$],0.2696617679574844,0.26970393423282446,15.452897149614765,15.450481199999997,0.002415949614768209
24,$\theta_{6}$ [$\degree$],-0.5940331781720268,-0.5964574560540176,-34.17449489100498,-34.035593999999996,-0.1389008910049867
25,$d_{6}$ [mm],-0.034035593999999995,-0.029909092069645055,-29.909092069645055,-34.035593999999996,4.126501930354941
26,$r_{6}$ [mm],-0.034035594,-0.03393808385630731,-33.93808385630731,-34.035594,0.09751014369269484
27,$\alpha_{6}$ [$\degree$],-0.5940331781720268,-0.5944517865191258,-34.059578491557716,-34.035593999999996,-0.023984491557719423
28,$\theta_{7}$ [$\degree$],0.3432893620988082,0.34639385952681323,19.8469062001339,19.669031599999997,0.17787460013390444
29,$d_{7}$ [mm],0.0196690316,0.02145609633166259,21.45609633166259,19.6690316,1.7870647316625892
30,$r_{7}$ [mm],0.0196690316,0.021906484593247896,21.906484593247896,19.6690316,2.2374529932478957
31,$\alpha_{7}$ [$\degree$],0.3432893620988082,0.3428118964663198,19.641674834395868,19.669031599999997,-0.027356765604128697
