,tex_names,errors,results,results_mm_deg,errors_mm_deg,identification_accuracy
0,$\theta_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
1,$d_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
2,$r_{0}$ [mm],0.0,0.0,0.0,0.0,0.0
3,$\alpha_{0}$ [$\degree$],0.0,0.0,0.0,0.0,0.0
4,$\theta_{1}$ [$\degree$],0.0,-0.0008565018412056054,-0.04907394064626541,0.0,-0.04907394064626541
5,$d_{1}$ [mm],0.0,0.000737760579707755,0.737760579707755,0.0,0.737760579707755
6,$r_{1}$ [mm],0.0,-0.0021856040491651857,-2.185604049165186,0.0,-2.185604049165186
7,$\alpha_{1}$ [$\degree$],0.0,0.00017278095525474768,0.009899619516335766,0.0,0.009899619516335766
8,$\theta_{2}$ [$\degree$],0.0,-0.0031244682408536418,-0.17901884342357846,0.0,-0.17901884342357846
9,$d_{2}$ [mm],0.0,-0.0017481570738214222,-1.7481570738214223,0.0,-1.7481570738214223
10,$r_{2}$ [mm],0.0,-3.727448932488997e-05,-0.03727448932488997,0.0,-0.03727448932488997
11,$\alpha_{2}$ [$\degree$],0.0,0.00023380345347545628,0.013395951119726945,0.0,0.013395951119726945
12,$\theta_{3}$ [$\degree$],0.0,0.0005103553019124087,0.029241204851705928,0.0,0.029241204851705928
13,$d_{3}$ [mm],0.0,-0.0024405555196503857,-2.4405555196503856,0.0,-2.4405555196503856
14,$r_{3}$ [mm],0.0,-0.0008492160041233616,-0.8492160041233615,0.0,-0.8492160041233615
15,$\alpha_{3}$ [$\degree$],0.0,-0.002095706999279745,-0.12007516615475564,0.0,-0.12007516615475564
16,$\theta_{4}$ [$\degree$],0.0,0.002287116589930936,0.13104212785739563,0.0,0.13104212785739563
17,$d_{4}$ [mm],0.0,0.0016132229753188345,1.6132229753188345,0.0,1.6132229753188345
18,$r_{4}$ [mm],0.0,0.0018404997878300189,1.8404997878300189,0.0,1.8404997878300189
19,$\alpha_{4}$ [$\degree$],0.0,0.0017904928485792393,0.10258768347194679,0.0,0.10258768347194679
20,$\theta_{5}$ [$\degree$],0.0,-0.0034544834963731457,-0.19792732473977748,0.0,-0.19792732473977748
21,$d_{5}$ [mm],0.0,-0.005108887319245978,-5.108887319245978,0.0,-5.108887319245978
22,$r_{5}$ [mm],0.0,0.0007778254861903807,0.7778254861903807,0.0,0.7778254861903807
23,$\alpha_{5}$ [$\degree$],0.0,-0.001636258371771726,-0.0937506988954679,0.0,-0.0937506988954679
24,$\theta_{6}$ [$\degree$],0.0,-0.00028754764197831445,-0.01647526629429624,0.0,-0.01647526629429624
25,$d_{6}$ [mm],0.0,0.006121792985725103,6.121792985725103,0.0,6.121792985725103
26,$r_{6}$ [mm],0.0,0.0022039375745053214,2.2039375745053214,0.0,2.2039375745053214
27,$\alpha_{6}$ [$\degree$],0.0,0.002340928888137306,0.13412534543052004,0.0,0.13412534543052004
28,$\theta_{7}$ [$\degree$],0.0,0.006123161734993499,0.35083132469113015,0.0,0.35083132469113015
29,$d_{7}$ [mm],0.0,-0.002967032975334803,-2.967032975334803,0.0,-2.967032975334803
30,$r_{7}$ [mm],0.0,-0.000529794714560152,-0.529794714560152,0.0,-0.529794714560152
31,$\alpha_{7}$ [$\degree$],0.0,-0.0020103753932583235,-0.11518602527065508,0.0,-0.11518602527065508
